key,en,es,zh
TOWERDEFENSE_ZOMBIE_DOLPHINSN_NAME,Snorkel Zombie,Snorkel Zombie,潜水海豚僵尸
CHALLENGE_LEVEL_NAME_8,Wintermelon Cat Battle - {LevelNumber},,冰瓜香蒲 挑战 - {LevelNumber}
CHALLENGE_LEVEL_NAME_9,VIPNut Battle - {LevelNumber},,至尊VIP坚果 挑战 - {LevelNumber}
TOWERDEFENSE_PLANT_PLANTERNSIX_NAME,Sixth streetlight flower,Sixth streetlight flower,6号路灯花
<!MissingKey:247:I'm a veteran>,I'm a veteran,Back Yard,商店购买（价格10000）
TOWERDEFENSE_PLANT_STARCALTROP_NAME,Caltrop-Starfruit,Caltrop-Starfruit,地刺杨桃
TOWERDEFENSE_ZOMBIE_WALLNUTABC_NAME,Nutty Zombie Box,Nutty Zombie Box,套盒坚果僵尸
TOWERDEFENSE_PLANT_SUNMINE_NAME,SunMine,SunMine,阳光土豆雷
TOWERDEFENSE_PLANT_PEAWELL_NAME,Pea Wish Pool,Pea Wish Pool,豌豆许愿池
TOWERDEFENSE_ZOMBIE_CATAPOW_NAME,Artillery Zombie,Artillery Zombie,火箭炮僵尸
TOWERDEFENSE_PLANT_FIRESNOWPEA_NAME,Ice Fire Splitting Archer,Ice Fire Splitting Archer,冰火裂荚射手
TOWERDEFENSE_PLANT_DOOMTANGLEKELP_NAME,Doom Tangle Kelp,Doom Tangle Kelp,毁灭海草
TOWERDEFENSE_ZOMBIE_IMP_NAME,ImpZombie,ImpZombie,小鬼僵尸
TOWERDEFENSE_ZOMBIE_GATLINGDOLPHINRIDER_NAME,Snorkel Zombie,Snorkel Zombie,机枪海豚僵尸
TOWERDEFENSE_PLANT_THREEPEATERZ_NAME,Zombie ThreePeashooter,Zombie ThreePeashooter,僵尸三线射手
TOWERDEFENSE_SHOVEL_GOLD_NAME,Gold Shovel,Gold Shovel,金铲
TOWERDEFENSE_ZOMBIE_IMPDIGGERSPIKE_NAME,DiggerSpike ImpZombie,DiggerSpike ImpZombie,矿工地刺小鬼僵尸
TOWERDEFENSE_PLANT_ICESQUASH_NAME,Ice Squash,Ice Squash,冰菇窝瓜
TOWERDEFENSE_ZOMBIE_IMP_PEASHOOTERZ_NAME,Seashroom ImpZombie,Seashroom ImpZombie,僵尸豌豆小鬼僵尸
TOWERDEFENSE_ZOMBIE_GHOST_NAME,Hypno Zombie,Hypno Zombie,僵尸幽灵
BGM_BACKYARD,Back Yard,Back Yard,后院(白天)
TOWERDEFENSE_PLANT_GATLINGCABBAGE_NAME,Gatling Cabbage,Gatling Cabbage,机枪卷心菜投手
TOWERDEFENSE_PLANT_THREEPEATER_NAME,Three-line shooter,Three-line shooter,三线射手
MAP_FRONTLAWN_NIGHT_EMPTY_BIG,"Front Yard (Night,Empty,Big Map)","Front Yard (Night,Empty,Big Map)",前院(夜晚裸地大地图)
TOWERDEFENSE_ZOMBIE_ZOMBONI_GATLINGPEA_NAME,Sledge Zombie,Sledge Zombie,机枪冰车僵尸
TOWERDEFENSE_PLANT_GARLICCHOMPER_NAME,Garlic Chomper,Garlic Chomper,大蒜大嘴花
TOWERDEFENSE_PLANT_ICESUNSHROOM_NAME,Ice Sunshroom,Ice Sunshroom,寒光菇
TOWERDEFENSE_PLANT_PEAPOT_NAME,PeaPot,PeaPot,豌豆花盆
TOWERDEFENSE_PLANT_BLOVER_NAME,Clover,Clover,三叶草
TOWERDEFENSE_PLANT_LILYLEAF_NAME,Lily Leaf,Lily Leaf,荷叶伞
TOWERDEFENSE_ZOMBIE_ARMORED_GARGANTUAR_NAME,Armored Gargantuar,Armored Gargantuar,武装伽刚特尔
TOWERDEFENSE_ZOMBIE_IMP_SUNPULT_NAME,Sunpult ImpZombie,Sunpult ImpZombie,阳光菇投手小鬼僵尸
LOAD_COLLECTABLE,Load collectable,Load collectable,加载收集物
INGAME_VIEW,VIEW GRASS,VIEW GRASS,查看草坪
TOWERDEFENSE_PLANT_HAMBURGER_NAME,Hamburger,Hamburger,汉堡射手
TOWERDEFENSE_ZOMBIE_FARMER_NAME,Farmer Zombie,Farmer Zombie,农夫僵尸
TOWERDEFENSE_ZOMBIE_PRESENTBOX_NAME,PresentBox Zombie,PresentBox Zombie,抽奖盒子僵尸
MAP_OUTSIDE_BACKYARD,Outside Back Yard,Outside Back Yard,外部后院
TOWERDEFENSE_PLANT_SUNPULT_NAME,Sunshroom Pult,Sunshroom Pult,阳光菇投手
<!MissingKey:282:Log in failed>,Log in failed,Cat bed,猫砂盆
TOWERDEFENSE_ZOMBIE_MAGNETIC_NAME,Magnetic Zombie,Magnetic Zombie,磁场僵尸
TOWERDEFENSE_PLANT_GOLDCAT_NAME,Golden Cat,Golden Cat,招财猫
BGM_FIREMODE,FireMode,FireMode,射击模式
TOWERDEFENSE,Defense,Defense,塔防
TOWERDEFENSE_ZOMBIE_GARDENER_NAME,Gardener Zombie,Gardener Zombie,园丁僵尸
TOWERDEFENSE_PLANT_SQUASHCANDY_NAME,Rewind Clock,Rewind Clock,窝瓜跳跳糖
TOWERDEFENSE_PLANT_SUNFLOWER_NAME,Sunflower,Sunflower,向日葵
TOWERDEFENSE_ZOMBIE_ZOMBONI_ICESHROOM_NAME,Sledge Zombie,Sledge Zombie,寒冰菇冰车僵尸
TOWERDEFENSE_ZOMBIE_FATGOLD_NAME,FatGold Zombie,FatGold Zombie,财主僵尸
DIALOG_USERNAME,USERNAME,USERNAME,用户名
TOWERDEFENSE_PLANT_TABOODOOMSHROOM_NAME,Taboo Doomshroom,Taboo Doomshroom,禁忌毁灭菇
TOWERDEFENSE_PLANT_JALATORCH_NAME,Jalatorch,Jalatorch,火炬辣椒
TOWERDEFENSE_PLANT_CHERRYPEA_NAME,CherryPea,CherryPea,豌豆炸弹
TOWERDEFENSE_PLANT_PEASHOOTERZ_NAME,Zombie Peashooter,Zombie Peashooter,僵尸豌豆射手
TOWERDEFENSE_ZOMBIE_SKELETON_NAME,Skeleton Zombie,Skeleton Zombie,骷髅僵尸
TOWERDEFENSE_PLANT_CATPUMPKIN_NAME,Cat bed,Cat bed,猫窝
TOWERDEFENSE_PLANT_LUCKYBLOVER_NAME,Lucky-Blover,Lucky-Blover,幸运四叶草
TOWERDEFENSE_PLANT_SQUASHVASE_NAME,Squash Vase,Squash Vase,罐子窝瓜
BGM_FRONTLAWN,Front Yard,Front Yard,前院(白天)
TOWERDEFENSE_ZOMBIE_FIRENUT_NAME,FireNut Zombie,FireNut Zombie,火炬坚果僵尸
TOWERDEFENSE_PLANT_WINTERMELONSHROOM_NAME,WinterMelon Mushroom,WinterMelon Mushroom,冰瓜大喷菇
BGM_BACKYARD_NIGHT,Back Yard Night,Back Yard Night,后院(夜晚)
TOWERDEFENSE_PLANT_MARIGOLDG_NAME,Golden Goddess Marigold,Golden Goddess Marigold,财神金盏花
LOAD_SHOP,Load shop,Load shop,加载商店
BGM_ROOF,Roof,Roof,屋顶(白天)
DIALOG_EMAIL,EMAIL,EMAIL,邮箱
DIALOG_MUSIC,Music,Music,音乐
LEVLE_EVENT_CURRENTMAP_USE_WARNINGLINE,CurrentMapUseWarningLine,CurrentMapUseWarningLine,使用当前地图警戒线
<!MissingKey:311:I'm a beginner>,I'm a beginner,Hypno Zombie,机枪冰车僵尸
MAP_FRONTLAWN_NIGHT_THREEPART,"Front Yard (Night,Three Part)","Front Yard (Night,Three Part)",前院(夜晚三分)
TOWERDEFENSE_PLANT_GLOOMSHROOM_NAME,Gloom-shroom,Gloom-shroom,忧郁菇
<!MissingKey:314:How familiar are you with Plants vs. Zombies?>,How familiar are you with Plants vs. Zombies?,Necromancer Zombie,【前方施工，请绕行！】
TOWERDEFENSE_ZOMBIE_MERCHANT_NAME,Merchant Zombie,Merchant Zombie,市场僵尸
TOWERDEFENSE_PLANT_RICHWOOD_NAME,Rich Torchwood,Rich Torchwood,宝藏树桩
TOWERDEFENSE_PLANT_COBCANNON_NAME,Cob Cannon,Cob Cannon,玉米加农炮
TOWERDEFENSE_PLANT_SUNGODBEAN_NAME,SunGod Bean,SunGod Bean,太阳神咖啡豆
TOWERDEFENSE_ZOMBIE_BACKUPDANCER_NAME,Backup Dancer Zombie,Backup Dancer Zombie,伴舞僵尸
TOWERDEFENSE_PLANT_WINTERMELONCAT_NAME,Wintermelon Cat,Wintermelon Cat,冰瓜香蒲
TOWERDEFENSE_ZOMBIE_VAMPIRE_NAME,Vampire Zombie,Vampire Zombie,吸血鬼僵尸
MAP_BACKYARD_NIGHT_FULL,"Back Yard (Night,Full Pool)","Back Yard (Night,Full Pool)",后院(夜晚全泳池)
TOWERDEFENSE_ZOMBIE_SNAILSHELL_NAME,Snail Imp,Snail Imp,蜗牛壳
TOWERDEFENSE_PLANT_WALLNUTABC_NAME,Nut Box,Nut Box,套盒坚果
MAP_ROOF,Roof,Roof,屋顶
TOWERDEFENSE_PLANT_SNOWBLOVER_NAME,Frozen Clover,Frozen Clover,寒冰三叶草
TOWERDEFENSE_ZOMBIE_HYPNO_NAME,Hypno Zombie,Hypno Zombie,迷魂僵尸
TOWERDEFENSE_PLANT_SNOWCORNPULT_NAME,SnowPea Pult,SnowPea Pult,寒冰投射手
TOWERDEFENSE_ZOMBIE_DOLPHINDC_NAME,Dolphin dancer zombie,Dolphin dancer zombie,伴舞海豚僵尸
TOWERDEFENSE_ZOMBIE_NECROMANCER_NAME,Necromancer Zombie,Necromancer Zombie,死灵法师僵尸
TOWERDEFENSE_PLANT_IMITATERW_NAME,Imitator Wallnut,Imitator Wallnut,坚果模仿者
TOWERDEFENSE_PLANT_HYPNOSHROOMSHOOTER_NAME,HypnoShroom Shooter,HypnoShroom Shooter,Cupid魅惑菇射手
TOWERDEFENSE_SHOVEL_DEFAULT_NAME,Iron Shovel,Iron Shovel,铁铲
TOWERDEFENSE_PLANT_TORCHWOOD_NAME,Fire torch stump,Fire torch stump,火炬树桩
TOWERDEFENSE_PLANT_FIRENUT_NAME,FireNut,FireNut,火炬坚果
TOWERDEFENSE_PLANT_SUNBOMB_NAME,SunBomb,SunBomb,阳光炸弹
TOWERDEFENSE_PLANT_CHOMPERPOT_NAME,Chomper-Pot,Chomper-Pot,大嘴花盆
TOWERDEFENSE_ZOMBIE_IMP_SEASHROOM_NAME,Seashroom ImpZombie,Seashroom ImpZombie,海蘑菇小鬼僵尸
TOWERDEFENSE_PLANT_MAGNETMINE_NAME,Magnetic Potato Mine,Magnetic Potato Mine,磁力土豆雷
TOWERDEFENSE_PLANT_JALACHERRYBOMB_NAME,Jalapeno CherryBomb ,CherryBomb,樱桃辣椒
TOWERDEFENSE_PLANT_PUMPKINSUN_NAME,Pumpkin Sun,Pumpkin Sun,阳光南瓜掌
TOWERDEFENSE_READYSETPLANTS_SET,Set...,Set...,种植...
TOWERDEFENSE_TIPS_IZM2_HUGEWAVE,A HUGE WAVE OF PLANTS IS APPROACHINE!,A HUGE WAVE OF PLANTS IS APPROACHINE!,一大波植物正在放置!
TOWERDEFENSE_PLANT_NUTSUNFLOWER_NAME,Nut Sunflower,Nut Sunflower,坚果向日葵
<!MissingKey:345:Fire Damage>,Fire Damage,PeashooterSingle,这款猫猫装扮在植物界突然盛行起来，其中豌豆家族购买的最多。等寒冰射手抢购到这身装扮时，帽子已经售空了。
TOWERDEFENSE_ZOMBIE_POGO_NAME,Pogo Zombie,Pogo Zombie,跳跳僵尸
TOWERDEFENSE_ZOMBIE_LMITATER_NAME,Lmitater Zombie,Lmitater Zombie,模仿者僵尸
TOWERDEFENSE_PLANT_PUFFPOT_NAME,PuffPot,PuffPot,小盆菇
TOWERDEFENSE_SHOVEL_CAPTAIN_NAME,Captain shovel,Captain shovel,海盗铲
TOWERDEFENSE_PLANT_SCAREDYSHROOM_NAME,Timid mushroom,Timid mushroom,胆小菇
<!MissingKey:351:Password length must be greater than 8>,Password length must be greater than 8,Roof Night,"[color=FF0000]获取方式[/color]：[color=0000cd]通关冒险模式 5-13[/color]

韧性：[color=cc241d]300[/color]
威力：[color=cc241d]20/1.5s（每行）[/color]
范围：[color=cc241d]前方三行[/color]
特点：[color=cc241d]①上下两路子弹70%概率为大蒜子弹，30%概率为毒蒜子弹；中路固定为毒蒜子弹
②大蒜子弹会使僵尸换行（车辆、boss、免控僵尸除外）
③毒蒜子弹会为单格范围内所有僵尸附加3秒中毒（不会换行）[/color]
边路补偿：[color=cc241d]种植于最上或最下行时，向前多发射一枚子弹[/color]"
DIALOG_RESTART,RESTART,RESTART,重新开始
TOWERDEFENSE_ZOMBIE_PEASHOOTER_NAME,Peashooter Zombie,Peashooter Zombie,双发射手僵尸
TOWERDEFENSE_ZOMBIE_IMP_PRESENTBOX_NAME,Presentbox ImpZombie,Presentbox ImpZombie,礼盒小鬼僵尸
TOWERDEFENSE_PLANT_CACTUS_NAME,Cactus,Cactus,仙人掌
TOWERDEFENSE_PLANT_MAGNETSHROOM_NAME,Magnet mushroom,Magnet mushroom,磁力菇
BGM_PVZHEMAIN,PvzheMain,PvzheMain,植物大战僵尸杂交版
PLAYERS_MORDEN_BACKYARD_LEVEL_NAME,Swimming Pool Defense 3 - {LevelNumber},Swimming Pool Defense 3 - {LevelNumber},泳池防守3 - {LevelNumber}
TOWERDEFENSE_PLANT_SQUIDGLOOMSHROOM_NAME,Squid Gloom-shroom,Squid Gloom-shroom,章鱼忧郁菇
TOWERDEFENSE_PLANT_LILYPOT_NAME,Lily Pot,Lily Pot,花盆睡莲
TOWERDEFENSE_PLANT_PEASHOOTERSINGLE_NAME,PeashooterSingle,PeashooterSingle,豌豆射手
TOWERDEFENSE_ZOMBIE_FOOTBALLIMP_NAME,Football ImpZombie,Football ImpZombie,冲锋橄榄小鬼僵尸
TOWERDEFENSE_PLANT_PUMPKINCANNON_NAME,Pumpkin Cannon,Pumpkin Cannon,南瓜加农炮
<!MissingKey:364:Boom Damage>,Boom Damage,Icenut,商店购买（价格15000）
TOWERDEFENSE_READYSETPLANTS_PLANTS,PLANT!,PLANT!,植物!
TOWERDEFENSE_PLANT_CORNTROP_NAME,Corntrop,Corntrop,玉米地刺
CHALLENGE_LEVEL_NAME_14,SnowMan Pea Battle - {LevelNumber},,雪球射手 挑战 - {LevelNumber}
CHALLENGE_LEVEL_NAME_13,Cat StarGatlingPea Battle - {LevelNumber},,猫猫星机枪 挑战 - {LevelNumber}
TOWERDEFENSE_PLANT_FUMESHROOM_NAME,Giant puffball,Giant puffball,大喷菇
CHALLENGE_LEVEL_NAME_12,Super FireThreePeater Battle - {LevelNumber},,浴火三线射手 挑战 - {LevelNumber}
CHALLENGE_LEVEL_NAME_11,SpikeShroom Battle - {LevelNumber},,雷果子 挑战 - {LevelNumber}
CHALLENGE_LEVEL_NAME_10,Butter GloomShroom Battle - {LevelNumber},,黄油忧郁菇 挑战 - {LevelNumber}
BGM_ROOF_NIGHT,Roof Night,Roof Night,屋顶(夜晚)
TOWERDEFENSE_PLANT_POTATOMINE_NAME,Potato mine,Potato mine,土豆雷
TOWERDEFENSE_PLANT_SNOWPEACAT_NAME,SnowPea Cat,SnowPea Cat,寒冰香蒲
TOWERDEFENSE_ZOMBIE_GARGANTUARDIGGER_NAME,Gargantuar Digger,Gargantuar Digger,矿工伽刚特尔
TOWERDEFENSE_PLANT_QUEENSUNFLOWER_NAME,Queen Sunflower,Queen Sunflower,向日葵女王
TOWERDEFENSE_ZOMBIE_TALLNUT_NAME,IceTallNut Zombie,IceTallNut Zombie,高坚果僵尸
TOWERDEFENSE_ZOMBIE_POGOJACKSON_NAME,Dance Dance Zombie Jackson,Dance Dance Zombie Jackson,跳跳舞王僵尸
TOWERDEFENSE_PLANT_POWSHROOM_NAME,Pow Shroom,Pow Shroom,辣椒大炮菇
TOWERDEFENSE_PLANT_GATLINGPEA_NAME,GatlingPea,GatlingPea,机枪射手
TOWERDEFENSE_ZOMBIE_POT_NAME,Pot Zombie,Pot Zombie,罐子僵尸
LOAD_MOWER,Load mower,Load mower,加载小推车
TOWERDEFENSE_PLANT_CORNPULTM_NAME,Magnetic Cornpult,Magnetic Cornpult,磁力玉米投手
TOWERDEFENSE_ZOMBIE_SUNFLOWER_NAME,Sunflower Zombie,Sunflower Zombie,向日葵僵尸
TOWERDEFENSE_PLANT_ICENUT_NAME,Icenut,Icenut,冰冻坚果
TOWERDEFENSE_PLANT_IMITATER_NAME,Imitator,Imitator,模仿者
TOWERDEFENSE_PLANT_CATFLOWER_NAME,Cat Flower,Cat Flower,小猫向日葵
TOWERDEFENSE_ZOMBIE_DISCOPAPER_NAME,Disco PaperZombie,Disco PaperZombie,读报迪斯科僵尸
TOWERDEFENSE_PLANT_ICESEASHROOM_NAME,Ice Seashroom,Ice Seashroom,海冰菇
TOWERDEFENSE_PLANT_DAYVASE_NAME,Jalapeno Vase,Jalapeno Vase,日月罐子
TOWERDEFENSE_PLANT_TANGLEKELPH_NAME,Enchanted Seaweed,Enchanted Seaweed,魅惑海草
TOWERDEFENSE_PLANT_FEVERBLOVER_NAME,Fever Blover,Fever Blover,狂热三叶草
DIALOG_SFX,Sound FX,Sound FX,音效
DIALOG_LOGIN,LOGIN,LOGIN,登录
TOWERDEFENSE_ZOMBIE_IMPPULT_NAME,Catapult Zombie,Catapult Zombie,小鬼投石车僵尸
TOWERDEFENSE_PLANT_COFFEELEAF_NAME,Coffee leaf,Coffee leaf,咖啡伞
TOWERDEFENSE_ZOMBIE_BUNGI_NAME,Digger Zombie,Digger Zombie,蹦极僵尸
PLAYERS_MORDEN_ROOFNIGHT_LEVEL_NAME,Moonlight Battle 6 - {LevelNumber},Moonlight Battle 6 - {LevelNumber},月夜决战6 - {LevelNumber}
<!MissingKey:400:freeze Buff>,freeze Buff,Roof Battle 5 - {LevelNumber},来自气球车僵尸的“礼物”。
MAP_ROOF_NIGHT,Roof Night,Roof Night,屋顶(夜晚)
TOWERDEFENSE_PLANT_TALLNUT_NAME,Sea Nut,Sea Nut,高坚果
LOAD_AUDIO,Load audio,Load audio,加载音效
TOWERDEFENSE_ZOMBIE_CAT_NAME,Zombie Cat,Zombie Cat,猫战士僵尸
TOWERDEFENSE_PLANT_ICETALLNUT_NAME,Ice TallNut,Ice TallNut,高冰果
TOWERDEFENSE_ZOMBIE_GATLINGPEA_NAME,Machine Gun Zombie,Machine Gun Zombie,机枪僵尸
TOWERDEFENSE_PLANT_STARFRUIT_NAME,Starfruit,Starfruit,杨桃
TOWERDEFENSE_SHOVEL_PUMPKIN_NAME,Pumpkin shovel,Pumpkin shovel,南瓜铲
TOWERDEFENSE_PLANT_CABBAGEPULT_NAME,Cabbage Pult,Cabbage Pult,卷心菜投手
TOWERDEFENSE_ZOMBIE_NUT_NAME,Nut Zombie,Nut Zombie,坚果僵尸
<!MissingKey:411:Registered successfully>,Registered successfully,You got a new zombie!,杨桃可以向五个方向发射小星星。
MAP_FRONTLAWN_COLD_BIG,"Front Yard (Winter,Big Map)","Front Yard (Winter,Big Map)",前院(冬大地图)
TOWERDEFENSE_PLANT_PORTALLNUT_NAME,Portal Tall Nut,Portal Tall Nut,传送门高坚果
TOWERDEFENSE_ZOMBIE_STARFRUIT_NAME,Starfruit Zombie,Starfruit Zombie,杨桃僵尸
TOWERDEFENSE_ZOMBIE_FOOTBALLGARGANTUARBLACKWHITEEYES_NAME,BlackFootball Gargantuar,BlackFootball Gargantuar,冲锋黑橄榄伽刚特尔
TOWERDEFENSE_MOWER_SUN_NAME,Sun Mower,Sun Mower,阳光小推车
TOWERDEFENSE_ZOMBIE_GARGANTUAR_GLOOMPULT_NAME,Armored Gargantuar,Armored Gargantuar,忧郁菇投手伽刚特尔
TOWERDEFENSE_PLANT_FIRETALLNUT_NAME,Cold Fire TallNut,Cold Fire TallNut,冰炬高坚果
TOWERDEFENSE_PLANT_PEACANNON_NAME,Pea Cannon,Pea Cannon,豌豆大炮
TOWERDEFENSE_ZOMBIE_CONEHEAD_NAME,Conehead Zombie,Conehead Zombie,路障僵尸
<!MissingKey:421:Password not same>,Password not same,PASSWORD,我们来玩保龄球吧！
PLAYERS_MORDEN_ROOF_LEVEL_NAME,Roof Battle 5 - {LevelNumber},Roof Battle 5 - {LevelNumber},屋顶大战5 - {LevelNumber}
<!MissingKey:423:THE TOMBSTONE IS STARTING TO LOOSEN>,THE TOMBSTONE IS STARTING TO LOOSEN,Snorkel Zombie,哟，伙计，你刚刚获得了一把新的铲子！
TOWERDEFENSE_ZOMBIE_BALLOONPULT_NAME,BalloonPult Zombie,BalloonPult Zombie,气球车僵尸
TOWERDEFENSE_PLANT_GARLICTALLNUT_NAME,Garlic Tall-Nut,Garlic Tall-Nut,大蒜高坚果
TOWERDEFENSE_PLANT_THREEPEATERU_NAME,Super FireThreePeashooter,Super FireThreePeashooter,浴火三线射手
TOWERDEFENSE_ZOMBIE_SEADEMON_NAME,Sea Demon Zombie,Sea Demon Zombie,海妖僵尸
LEVLE_EVENT_CURRENTMAP_CHARACTER_CLEAR,CurrentMapCharacterClear,CurrentMapCharacterClear,清除当前地图角色
TOWERDEFENSE_ZOMBIE_FOOTBALL_GLOOMSHROOM_NAME,Football FumeShroom Zombie,Football FumeShroom Zombie,忧郁菇橄榄球僵尸
LEVLE_EVENT_GRAVESTONE_CREATE_RANDOM,GravestoneCreateRandom,GravestoneCreateRandom,随机位置创建墓碑
TOWERDEFENSE_ZOMBIE_GARGANTUAR_PRESENTBOX_NAME,Gargantuar presentbox,Gargantuar presentbox,礼盒伽刚特尔
LOAD_SHOVEL,Load shovel,Load shovel,加载铲子
AWARD_PACKET_ZOMBIE,You got a new zombie!,You got a new zombie!,你获得了一种新僵尸!
TOWERDEFENSE_PLANT_SUNFLAGBEAN_NAME,Flag SunBean,Flag SunBean,旗帜阳光豆
TOWERDEFENSE_ZOMBIE_POGODANCER_NAME,Jumping Dance Zombie,Jumping Dance Zombie,跳跳伴舞僵尸
MAP_UNDEADVILLAGE_EMPTY,"Undead Village (Night,Empty)","Undead Village (Night,Empty)",鬼灵村庄(裸地)
TOWERDEFENSE_PLANT_POTQX_NAME,Portal Tall Nut,Portal Tall Nut,全息投影花盆
TOWERDEFENSE_PLANT_STARPEATER_NAME,Star Threepeater,Star Threepeater,杨桃三线射手
TOWERDEFENSE_PLANT_CATTAILZ_NAME,Zombie Cattail,Zombie Cattail,僵尸猫尾草
MAP_FRONTLAWN_BIG,"Front Yard (Day,Big Map)","Front Yard (Day,Big Map)",前院(白天大地图)
MAP_FRONTLAWN_NIGHT_DEEP,Front Yard (Deep Night),Front Yard (Deep Night),前院(深夜)
TOWERDEFENSE_PLANT_SNOWMANPEA_NAME,SnowMan Pea,SnowMan Pea,雪球射手
DIALOG_PASSWORD,PASSWORD,PASSWORD,密码
TOWERDEFENSE_PLANT_KABBAGETAIL_NAME,Cornmeal tortilla and cattail,Cornmeal tortilla and cattail,玉米卷香蒲
TOWERDEFENSE_ZOMBIE_SNORKLE_NAME,Snorkel Zombie,Snorkel Zombie,潜水僵尸
TOWERDEFENSE_ZOMBIE_GARGANTUARZOMBONI_NAME,Zomboni Gargantuar,Zomboni Gargantuar,雪橇车巨人僵尸
LEVLE_EVENT_CREATE_PROTAL,CreateProtal,CreateProtal,创建传送门
TOWERDEFENSE_ZOMBIE_JACKSON_NAME,Dancing Zombie,Dancing Zombie,舞王僵尸
TOWERDEFENSE_PLANT_PIRATEPEATER_NAME,Pirate Threepeater,Pirate Threepeater,海盗三线射手
TOWERDEFENSE_PLANT_POTATOSTAR_NAME,Potato Star,Potato Star,土杨桃
TOWERDEFENSE_ZOMBIE_DARKFOOTBALL_NAME,Dark football zombie,Dark football zombie,暗黑橄榄球僵尸
TOWERDEFENSE_PLANT_CHOMPER_NAME,Chomper,Chomper,大嘴花
TOWERDEFENSE_ZOMBIE_CABBAGEPULT_NAME,Cabbagepult Zombie,Cabbagepult Zombie,卷心菜投手僵尸
TOWERDEFENSE_PLANT_TALLNUTARMED_NAME,Armed Tall-nut,Armed Tall-nut,装甲高坚果
TOWERDEFENSE_ZOMBIE_DUCKRIDER_NAME,Zombie Duckrider,Zombie Duckrider,骑鸭僵尸
TOWERDEFENSE_TIPS_FINALWAVE,FINAL WAVE,FINAL WAVE,最后一波
TOWERDEFENSE_PLANT_SHOOTINGSTARS_NAME,Shooting Stars,Shooting Stars,流星
TOWERDEFENSE_ZOMBIE_POLESTRIKER_NAME,Olive Polestalker,Olive Polestalker,冲锋橄榄撑杆僵尸
TOWERDEFENSE_ZOMBIE_DISCOFIRE_NAME,Fire Disco Zombie,Fire Disco Zombie,火焰迪斯科僵尸
TOWERDEFENSE_PLANT_GRAVEBOMBER_NAME,Grave Bomber,Grave Bomber,墓碑爆破者
LOGIN_SUCCESS,Log in successfully,Log in successfully,登录成功!
MAP_FRONTLAWN_AFTERNOON,Front Yard (Afternoon),Front Yard (Afternoon),前院(黄昏)
TOWERDEFENSE_PLANT_GATLINGCAT_NAME,Gatling PeaCat,Gatling PeaCat,机枪香蒲
TOWERDEFENSE_ZOMBIE_DANCERFIRE_NAME,Fire DancerZombie,Fire Dancer Zombie,火焰舞者僵尸
TOWERDEFENSE_PLANT_SPLITPEACAT_NAME,Ghost-Jalapeno,Ghost-Jalapeno,裂荚香蒲
TOWERDEFENSE_ZOMBIE_DIGGER_NAME,Digger Zombie,Digger Zombie,矿工僵尸
LOAD_CHARACTER,Load character,Load character,加载植物和僵尸
TOWERDEFENSE_SHOVEL_MELON_NAME,Melon shovel,Melon shovel,西瓜铲
TOWERDEFENSE_PLANT_PUMPKINFIRE_NAME,Fire Pumpkin,Fire Pumpkin,火焰南瓜壳
TOWERDEFENSE_PLANT_GOLDPEA_NAME,Golden Pea,Golden Pea,吸金磁射手
TOWERDEFENSE_PLANT_WILDPEA_NAME,WildPea,WildPea,狂野机枪射手
TOWERDEFENSE_PLANT_MARIGOLD_NAME,Marigold,Marigold,金盏花
TOWERDEFENSE_ZOMBIE_DIAMOND_NAME,Diamond Zombie,Diamond Zombie,钻石僵尸
TOWERDEFENSE_PLANT_HYPNOGARLIC_NAME,HypnoGarlic,HypnoGarlic,魅惑大蒜
TOWERDEFENSE_ZOMBIE_BACKUP_NAME,DancerZombie,Dancer Zombie,舞者僵尸
TOWERDEFENSE_ZOMBIE_BACKUPPAPER_NAME,Backup PaperZombie,Backup PaperZombie,愤怒舞者僵尸
TOWERDEFENSE_PLANT_SUNFLOWERPEA_NAME,SunflowerPea,SunflowerPea,豌豆向日葵
TOWERDEFENSE_PLANT_MAGNETNUT_NAME,MagnetNut,MagnetNut,磁力坚果
TOWERDEFENSE_ZOMBIE_IMPDIAMOND_NAME,Diamond ImpZombie,Diamond ImpZombie,钻石小鬼僵尸
TOWERDEFENSE_PLANT_JALAVASE_NAME,Jalapeno Vase,Jalapeno Vase,泡椒罐子
TOWERDEFENSE_ZOMBIE_FOOTBALLGARGANTUARBLACK_NAME,BlackFootball Gargantuar,BlackFootball Gargantuar,暴走黑橄榄红眼伽刚特尔
LOAD_PROJECTILE,Load projectile,Load projectile,加载子弹
TOWERDEFENSE_PLANT_SEASHROOM_NAME,Sea-shroom,Sea-shroom,海蘑菇
PLAYERS_MORDEN_IZM2_NIGHT_LEVEL_NAME,Izm2 Nightfall 2 - {LevelNumber},Izm2 Nightfall 2 - {LevelNumber},我是僵尸2 - {LevelNumber}
TOWERDEFENSE_ZOMBIE_GARGANTUAR_WALLNUTZ_NAME,Armored Gargantuar,Armored Gargantuar,僵尸坚果伽刚特尔
TOWERDEFENSE_ZOMBIE_FOOTBALL_NAME,Football Zombie,Football Zombie,橄榄球僵尸
TOWERDEFENSE_MOWER_DEFAULT_NAME,Default Mower,Default Mower,草坪小推车
TOWERDEFENSE_PLANT_TORCHWOODSTAR_NAME,Torchwoodstar,Torchwoodstar,杨桃树桩
HAMMER,Hammer,Hammer,锤子
